,kl,rev_kl
cifar100_vgg11_bn,3.9924976407289505,0.7214311020821333
cifar100_vgg13_bn,3.9394787454605105,0.7216094843447208
cifar100_vgg16_bn,3.7774696766734124,0.72181587035954
cifar100_vgg19_bn,4.012171655058861,0.7208900027424097
cifar100_resnet20,1.5545264884233474,0.6501921418458223
cifar100_resnet32,2.3490700619220735,0.6556461025327444
cifar100_resnet44,2.582771180391312,0.6724458696693182
cifar100_resnet56,2.865832053154707,0.6960938139408827
cifar100_mobilenetv2_x0_5,2.0194405682086947,0.6621066151857377
cifar100_mobilenetv2_x0_75,2.2954736883640288,0.6736553172916174
cifar100_mobilenetv2_x1_0,2.456255122721195,0.6914987756013871
cifar100_mobilenetv2_x1_4,2.5013678976297378,0.7012465582937002
cifar100_shufflenetv2_x0_5,1.6307296210229396,0.6220584330707788
cifar100_shufflenetv2_x1_0,2.3552852334976198,0.7001085076853633
cifar100_shufflenetv2_x1_5,2.324431407406926,0.7089850524291396
cifar100_shufflenetv2_x2_0,2.3572634462714195,0.7108087878227234
cifar100_repvgg_a0,2.7563650098890067,0.7155678850859404
cifar100_repvgg_a1,2.7003561674654484,0.7147273398637771
cifar100_repvgg_a2,2.6368247483968736,0.7171857772022485
nin_cifar100,0.5472580276727677,0.4929126396179199
resnet110_cifar100,0.8840331720709801,0.6429010947942734
resnet164bn_cifar100,1.5017024744153022,0.6640549663305283
resnet272bn_cifar100,1.7954525422155858,0.6902582181245088
xdensenet40_2_k24_bc_cifar100,0.7887165331095457,0.5394165589213371
xdensenet40_2_k36_bc_cifar100,1.0420143626928329,0.5713831532001495
ror3_56_cifar100,0.9494654790759086,0.5635937108993531
ror3_110_cifar100,1.2454040782749654,0.6251728558540344
ror3_164_cifar100,1.4138336344659328,0.6579344963878393
diapreresnet56_cifar100,0.9753594809174537,0.5794767636656761
diapreresnet110_cifar100,1.1986790435314179,0.6279171696901321
diapreresnet164bn_cifar100,1.6100725664198399,0.6781474392265081
preresnet56_cifar100,1.0155643894076347,0.5978966002464294
preresnet110_cifar100,1.2517831946611404,0.6325922184586525
preresnet164bn_cifar100,1.5848489936590195,0.6641957491636277
preresnet272bn_cifar100,1.7296071815490723,0.6896098243221641
seresnet56_cifar100,1.0780620116591453,0.6036241062283516
seresnet110_cifar100,1.328341594159603,0.6474402401447296
seresnet164bn_cifar100,1.4397194149196149,0.6621792477369308
seresnet272bn_cifar100,1.6503326742351054,0.6849986262023449
wrn16_10_cifar100,1.958155745178461,0.6984382821321488
wrn28_10_cifar100,1.125887708067894,0.6737724742889404
wrn40_8_cifar100,1.0052228362560272,0.6996262493133545
sepreresnet56_cifar100,1.266676623493433,0.5938442004919052
sepreresnet110_cifar100,1.3688170565068722,0.6379044485092163
sepreresnet164bn_cifar100,1.3881758018136023,0.649241103798151
sepreresnet272bn_cifar100,1.5259075213074684,0.667569524616003
shakeshakeresnet20_2x16d_cifar100,0.588586537361145,0.6282851548194885
shakeshakeresnet26_2x32d_cifar100,1.4044379832297564,0.6143990148901939
resnext29_32x4d_cifar100,1.9896541765332223,0.7003455275893211
resnext29_16x64d_cifar100,2.6725294404029847,0.7163169088214636
resnext272_1x64d_cifar100,2.4002965430021286,0.7139423099309206
diaresnet56_cifar100,0.9293373190909624,0.5746627197265625
densenet100_k24_cifar100,2.061530250430107,0.7033265522271395
pyramidnet164_a270_bn_cifar100,2.310689945459366,0.7127007690742612
